drug_name,lot_no,units,quantity, price,received_date,expiry_date,note,,,,,,
ACETYLCYSTEINE POWDER (ละลายเสมหะ) 100 MG,L52348,ซอง,100,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,ตัวอย่าง units,ตัวอย่าง received_date,ตัวอย่าง expiry_date,
ADRENALINE INJ 1 MG/ML,L0,Amp,5,7.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,เม็ด,xxxx-xx-xx,xxxx-xx-xx,
ADSORBED Td VACCINE (dt คอตีบ+บาดทะยัก) 2 Lf/0.5 mL,L0,Amp,0,6.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,แคปซูล,,,
ALBENDAZOLE 200 MG TAB,L0,เม็ด,124,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,ขวด,,,
ALBENDAZOLE SUSP 100 MG/5 ML,L0,ขวด,0,15.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,หลอด,,,
ALUMINIUM + MAGNESIA + SIMETHICONE SUSP,L0,ขวด,196,17.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,ซอง,,,
ALUMINIUM + MAGNESIA TAB,L0,เม็ด,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,Amp,,,
AMMON + GLYCERRHIZA SYR,L0,ขวด,0,9,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,แผ่น,,,
AMMONIA 450 ML,L0,ขวด,1,90,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,แท่ง,,,
AMOXYCILLIN 250 MG CAP,L0,แคปซูล,980,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,แผง,,,
AMOXYCILLIN 500 MG CAP,L0,แคปซูล,3725,2.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,กระปุก,,,
AMOXYCILLIN DRY SYR. 125 MG/5 ML,L0,ขวด,143,16.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,อัน,,,
ANTAZOLINE+TETRAHYDROZOLINE EYE DROPS,L0,หลอด,1,15,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,Vial,,,
AROMATIC AMMONIA SOLUTION,L0,ขวด,0,84,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
AstraZeneca 10 doses/vial,L0,Amp,0,191,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ATARAX (HYDROXYCINE) 10 MG TAB ***,L0,เม็ด,1420,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ATROPINE SULFATE INJ. 0.6 MG/ML,L0,Amp,0,8.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
BACTIGRAS 0.5 %,L0,แผ่น,50,18,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
BENZYL BENZOATE 25% EMULSION,L0,ขวด,0,20.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
